geo_level,grouped_mode,trips,share
RMSP,Automóvel,11566672.108894018,0.32435018647419117
RMSP,A pé,10056485.491814597,0.282001851125939
RMSP,Transporte público,9509447.55649492,0.2666619283895464
RMSP,Transporte escolar,2434453.0532486713,0.06826642048308855
RMSP,Moto,1234204.6060953184,0.03460930685015995
RMSP,Outros,859799.1817336701,0.024110307813530574
São Paulo (capital),Transporte público,6581314.416631817,0.32348567082351304
São Paulo (capital),Automóvel,6086280.508248924,0.2991536960774842
São Paulo (capital),A pé,5506514.532844614,0.2706569593685421
São Paulo (capital),Transporte escolar,1277382.1563567745,0.06278606331989815
São Paulo (capital),Moto,577274.2904117575,0.02837426526617398
São Paulo (capital),Outros,316229.2873266636,0.015543345494821522
